HHS_region,pathogen2,psi,loglik
3,fluA,0.9,-7083.604956
3,fluA,1,-7106.191922
4,fluA,0,-12691.42167
4,fluA,1.00E-05,-12691.42189
4,fluA,0.01,-12691.56046
4,fluA,0.04,-12691.96426
4,fluA,0.07,-12692.36446
4,fluA,0.1,-12692.76121
4,fluA,0.1,-12692.76121
4,fluA,0.13,-12693.15449
4,fluA,0.16,-12693.54438
4,fluA,0.19,-12693.931
4,fluA,0.2,-12694.05913
4,fluA,0.22,-12694.31427
4,fluA,0.25,-12694.69417
4,fluA,0.28,-12695.07067
4,fluA,0.3,-12695.31987
4,fluA,0.4,-12696.5431
4,fluA,0.5,-12697.7281
4,fluA,0.6,-12698.87388
4,fluA,0.7,-12699.9798
4,fluA,0.8,-12701.04476
4,fluA,0.9,-12702.06791
4,fluA,1,-12703.04841
5,fluA,0,-17433.68606
5,fluA,1.00E-05,-17433.68699
5,fluA,0.01,-17434.61251
5,fluA,0.04,-17437.36321
5,fluA,0.07,-17440.10546
5,fluA,0.1,-17442.83946
5,fluA,0.1,-17442.83957
5,fluA,0.13,-17445.56521
5,fluA,0.16,-17448.28284
5,fluA,0.19,-17450.99183
5,fluA,0.2,-17451.8941
5,fluA,0.22,-17453.69385
5,fluA,0.25,-17456.38726
5,fluA,0.28,-17401.88787
5,fluA,0.3,-17460.8565
5,fluA,0.4,-17469.7259
5,fluA,0.5,-17478.49613
5,fluA,0.6,-17487.15986
5,fluA,0.7,-17495.70142
5,fluA,0.8,-17503.93762
5,fluA,0.9,-17511.08825
5,fluA,1,-17517.36783
6,fluA,0,-14034.91413
6,fluA,1.00E-05,-14034.91473
6,fluA,0.01,-14035.51764
6,fluA,0.04,-14037.3248
6,fluA,0.07,-14039.12652
6,fluA,0.1,-14040.92249
6,fluA,0.1,-14040.9225
6,fluA,0.13,-14042.71266
6,fluA,0.16,-14044.49691
6,fluA,0.19,-14046.27535
6,fluA,0.2,-14046.86683
6,fluA,0.22,-14048.04781
6,fluA,0.25,-14049.81416
6,fluA,0.28,-14051.57432
6,fluA,0.3,-14052.74427
6,fluA,0.4,-14058.55138
6,fluA,0.5,-14064.2836
6,fluA,0.6,-14069.93091
6,fluA,0.7,-14075.40891
6,fluA,0.8,-14080.44818
6,fluA,0.9,-14085.10239
6,fluA,1,-14089.45827
7,fluA,0,-4439.739823
7,fluA,1.00E-05,-4439.739907
7,fluA,0.1,-4440.569691
7,fluA,0.2,-4442.924819
7,fluA,0.3,-4442.182437
7,fluA,0.4,-4442.966084
7,fluA,0.5,-4443.734815
7,fluA,0.6,-4444.48879
7,fluA,0.7,-4445.228219
7,fluA,0.71,-4445.301372
7,fluA,0.74,-4445.519967
7,fluA,0.77,-4445.737277
7,fluA,0.8,-4445.953305
7,fluA,0.8,-4453.195414
7,fluA,0.83,-4446.16806
7,fluA,0.86,-4446.381542
7,fluA,0.89,-4449.111586
7,fluA,0.9,-4446.664213
7,fluA,0.92,-4446.804709
7,fluA,0.95,-4447.014405
7,fluA,0.98,-4447.222841
7,fluA,1,-4443.97646
8,fluA,0,-9411.309239
8,fluA,0.1,-9419.721028
8,fluA,0.2,-9427.823828
8,fluA,0.3,-8547.453175
8,fluA,0.4,-8518.685176
8,fluA,0.5,-8492.303376
8,fluA,0.6,-8466.201843
8,fluA,0.7,-8440.85266
8,fluA,0.71,-8438.468181
8,fluA,0.74,-8430.828156
8,fluA,0.77,-8423.312218
8,fluA,0.8,-8415.890972
8,fluA,0.8,-8415.912338
8,fluA,0.83,-8408.466914
8,fluA,0.86,-8401.068907
8,fluA,0.89,-8393.737992
8,fluA,0.9,-8391.262592
8,fluA,0.92,-8386.39116
8,fluA,0.95,-8379.115116
8,fluA,0.98,-8371.856343
8,fluA,0.999999672,-8367.026009
8,fluA,1,-8367.02568
9,fluA,0,-10869.10908
9,fluA,0.1,-10845.88703
9,fluA,0.2,-10806.74036
9,fluA,0.3,-10786.83824
9,fluA,0.4,-10749.61666
9,fluA,0.5,-10721.20453
9,fluA,0.6,-10697.04832
9,fluA,0.7,-10676.49555
9,fluA,0.71,-10667.65953
9,fluA,0.74,-10655.06321
9,fluA,0.77,-10651.28341
9,fluA,0.8,-10651.18454
9,fluA,0.8,-10642.81176
9,fluA,0.83,-10632.0368
9,fluA,0.86,-10626.29776
9,fluA,0.89,-10628.49213
9,fluA,0.9,-10620.55322
9,fluA,0.92,-10623.45059
9,fluA,0.95,-10610.43828
9,fluA,0.98,-10595.72105
9,fluA,0.999686424,-10594.88116
9,fluA,1,-10595.65579
10,fluA,0,-5122.623
10,fluA,0.1,-5114.532
10,fluA,0.2,-5106.849
10,fluA,0.3,-5098.813
10,fluA,0.4,-5090.966
10,fluA,0.5,-5083.268
10,fluA,0.6,-5075.714
10,fluA,0.7,-5068.209
10,fluA,0.71,-5067.367503
10,fluA,0.74,-5065.437647
10,fluA,0.77,-5063.323417
10,fluA,0.8,-5060.594
10,fluA,0.8,-5060.858254
10,fluA,0.83,-5058.477098
10,fluA,0.86,-5056.52349
10,fluA,0.89,-5054.017379
10,fluA,0.9,-5053.22
10,fluA,0.92,-5051.891295
10,fluA,0.95,-5049.933709
10,fluA,0.98,-5047.687793
