chi,loglik,HHS_region,Pathens2,loglik_cutoff,maxloglik,lower,upper,,#REF!
0.25,-18277.34732,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.26,-18175.66225,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.27,-18074.74361,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.28,-17974.58881,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.29,-17875.19504,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.3,-17776.55922,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.31,-17678.67871,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.32,-17581.55064,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.33,-17485.17246,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.34,-17389.54116,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.35,-17294.65458,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.36,-17200.50933,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.37,-17107.10292,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.38,-17014.43295,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.39,-16922.49698,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.4,-16831.29198,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.41,-16740.81624,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.42,-16651.06681,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.43,-16562.04122,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.44,-16473.73751,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.45,-16386.15282,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.46,-16299.28546,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.47,-16213.13314,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.48,-16127.6935,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.49,-16042.96446,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.5,-15958.94453,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.51,-15875.63119,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.52,-15793.02283,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.53,-15711.11726,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.54,-15629.91325,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.55,-15549.40883,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.56,-15469.60291,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.57,-15390.49374,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.58,-15312.07999,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.59,-15234.36096,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.6,-15157.3359,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.61,-15081.00467,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.62,-15005.36821,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.63,-14930.43023,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.64,-14856.19555,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.65,-14782.67323,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.66,-14709.88284,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.67,-14637.85627,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.68,-14566.64678,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.69,-14496.35003,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.7,-14427.12269,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.71,-14359.23295,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.72,-14293.1305,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.73,-14229.57195,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.74,-14169.82725,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.75,-14116.01937,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.76,-14071.63262,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.77,-14042.08997,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.78,-14034.9145,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.79,-14058.41277,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.8,-14118.12049,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.81,-14212.82967,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.82,-14334.28387,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.83,-14471.44002,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.84,-14615.12975,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.85,-14759.80269,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.86,-14902.83465,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.87,-15043.30957,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.88,-15181.05944,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.89,-15316.21664,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.9,-15448.96967,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.91,-15579.49814,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.92,-15707.94607,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.93,-15834.42667,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.94,-15959.00608,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.95,-16081.73013,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.96,-16202.61169,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.97,-16321.63492,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.98,-16438.75815,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.99,-16553.89811,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
1,-16666.95673,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
